ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
41,338942.4888,1544.53,1,4,677.97,2.88,10,17.8,13.3,99.9,0.98,6,6,7,Yes,White,No,1,4,412579.9944,1
42,456965.1835,1790.88,3,2,695.61,20.81,9,24.52,30.63,87.88,0.8,4,2,7,No,Blue,No,1,5,337761.8265,1
43,285175.2294,1114.3,2,4,821.15,52.77,5,16.89,5.29,86.69,2.98,3,2,4,No,Green,No,1,15,312651.6828,1
44,267888.0566,968.6,4,3,625.87,45.22,7,13.54,2.28,96.71,0.68,6,5,7,Yes,Blue,No,1,15,376588.7389,0
45,197044.3929,550,3,3,322.77,29.04,7,30.58,29.27,97.48,2.61,7,5,7,No,Yellow,No,1,25,165592.7666,0
46,198393.1279,842.16,3,1,509.27,20.73,4,35.88,36.54,98.54,1.54,3,9,6,No,Red,No,1,14,212641.0238,0
47,340473.0578,979.4,1,4,651.09,76.65,7,24.69,16.67,93.44,0.96,6,6,7,No,Green,Yes,1,19,321053.1422,1
48,153653.6431,550,1,3,163.98,48.13,6,81.83,25.94,85.44,2.31,5,1,4,No,Blue,No,1,11,113681.0813,0
49,315305.8611,1298.5,2,3,307.21,22.51,6,33.31,6.76,95.91,1.83,5,5,5,Yes,White,No,2,27,313392.5017,1
50,470536.3101,1594.17,2,4,567.07,0.05,10,25.66,10.42,98.1,2.14,7,10,10,No,Blue,No,1,11,812591.7859,1
51,321465.721,551.61,3,3,547.19,35.1,5,32.35,13.3,96.05,1.55,5,1,4,No,Yellow,No,1,1,255872.3588,1
52,257606.4882,678.71,3,4,524.98,20.75,7,54.64,39.12,86.4,1.38,5,4,9,Yes,White,No,1,3,316287.6994,0
53,141906.3328,550,1,3,402.81,1.55,5,56.19,25.44,98.3,1.58,4,7,5,No,Red,No,1,25,30476.04412,0
54,191199.6967,550,1,3,746.43,46.2,7,113.42,0.72,90.73,1.96,4,10,6,No,Yellow,No,1,11,131907.532,1
55,214544.3699,1108.17,1,3,599.08,34.18,4,41.57,27.91,99.9,2,5,6,5,No,Blue,No,1,6,326871.9349,0
56,197318.2591,556.22,1,4,233.88,48.64,9,42.32,13.08,98.9,0.86,4,7,7,No,Blue,Yes,1,14,181098.2394,0
57,286606.7534,877.48,2,3,10.29,41.36,8,29.63,24.03,89.98,2.77,5,6,7,No,Yellow,No,1,26,224654.9278,1
58,262908.9842,550,2,4,614.11,27.62,9,88.31,25.87,91.95,1.45,8,6,6,Yes,Green,Yes,2,38,314738.3821,0
59,104494.1398,550,1,3,152.62,41.49,4,77.29,6.96,91.23,2.96,4,8,4,No,White,No,1,4,18819.4621,1
60,600382.1171,1747.09,2,3,911.97,29.24,10,48.65,4.61,98.27,1.67,6,10,7,Yes,Red,No,1,22,776303.338,1
61,204273.6783,906.49,2,3,699.35,57,7,107.8,52.74,90.5,1.57,6,3,5,No,Yellow,Yes,1,29,224602.4137,0
62,113545.7587,550,1,3,272.87,10.16,5,138.66,40.12,91.94,1.12,3,4,7,Yes,White,Yes,2,7,26415.70062,0
63,459577.1829,1044.97,3,5,672.27,15.47,8,52.31,15.42,99.9,1.41,6,6,6,No,Red,No,1,9,755423.1728,1
64,382797.6505,1554.72,1,5,633.52,12.7,8,48.77,20.87,95.78,1.6,5,5,6,No,Green,No,1,18,543117.7569,1
65,414962.7495,1222.16,1,4,620.8,57.28,6,97.86,5.6,86.51,1.15,8,7,7,No,Blue,No,1,11,406989.4093,1
66,265124.8389,1193.27,1,3,514.51,29.36,7,38.72,15.62,92.71,1.38,2,7,6,No,Green,Yes,2,29,177754.2012,0
67,443253.3088,1486.54,3,5,590.92,26.56,7,31.47,3.2,93.34,1.84,8,6,10,Yes,Red,No,1,27,668283.1176,1
68,562151.053,1286.17,3,6,387.44,21.56,7,17.5,0.23,95.34,2.06,3,7,7,No,Yellow,No,1,19,547769.6363,1
69,391309.264,1422.5,3,3,610.96,18.95,8,13.98,2.36,99.06,2.01,5,8,3,No,Blue,No,1,20,447581.2695,1
70,293993.3106,1233.39,2,3,1103.46,42.39,6,32.33,39.45,91.12,1.89,4,10,8,No,Green,Yes,1,11,358485.656,1
71,356616.8564,1645.41,1,2,528.26,24.92,7,44.71,10.4,93.68,1.35,7,7,6,No,Blue,Yes,1,24,373940.2851,1
72,158916.1659,550,1,2,422.75,43.77,4,32.67,35.18,95.9,1.85,2,7,3,No,Red,Yes,1,17,71959.48995,0
73,323339.5808,1032.34,3,3,221.1,72.3,7,32.45,20.49,96.54,1.54,4,9,8,Yes,Blue,Yes,1,9,469495.1696,1
74,255996.8651,1535.57,2,2,867.01,6.26,9,30.99,18.84,99.58,1.05,6,8,7,Yes,White,Yes,1,18,368890.6677,0
75,290455.1881,1513.75,2,4,462.52,31.62,7,32.43,32.14,98.58,1.72,3,6,7,No,Red,No,1,10,457800.9591,0
76,861623.6157,2013.79,4,5,740.42,46.11,10,96.34,32.89,99.9,1.82,9,7,8,No,Yellow,No,1,13,851362.3628,1
77,443988.6118,1016.27,4,2,401.64,39.96,9,20.9,31.14,92.1,1.92,7,7,8,No,Blue,No,1,14,430095.2019,1
78,358519.7049,1864.95,3,3,855.28,16.03,10,53.04,19.61,99.37,1.39,9,7,7,Yes,Green,No,1,12,668604.752,1
79,455877.0274,1029.31,4,2,412.54,44.29,6,86.13,22.07,91.83,1.55,6,2,1,No,White,Yes,1,4,503257.8749,0
80,103212.0744,550,1,3,458.89,49,4,76.35,7.26,90.91,1.02,3,2,5,No,White,No,1,7,16088.93035,1
81,239822.1002,972.44,1,3,181.58,72.18,7,38.06,35.95,94.53,1.51,4,3,7,No,Blue,No,1,21,191925.6804,0
82,190286.3937,1287.85,1,1,587.45,18.23,6,3.49,18.77,87.73,2.33,3,2,3,No,Red,Yes,1,7,137189.5439,0
83,384299.924,1257.82,1,3,479.92,8.17,5,6.75,27.73,90.28,1.66,2,1,2,No,Red,No,1,22,353181.3941,1
84,355509.5762,1138.98,2,4,97.15,43.64,8,19.46,14.61,95.72,1.36,5,3,4,Yes,Blue,No,1,13,215467.1332,1
85,380408.5489,938.17,1,4,116.05,29.16,9,87.07,32.27,94.59,0.73,6,9,7,Yes,White,No,1,15,299887.5545,1
86,255046.6856,897.34,2,3,465.82,29.83,5,64.15,27.25,91.53,1.18,5,2,4,No,Blue,Yes,1,16,116639.8566,0
87,462244.0767,1391.17,1,4,494.7,40.47,6,33.02,4.93,99.9,1.3,5,1,4,No,White,No,1,10,407789.724,1
88,410697.6667,939.61,1,4,419.2,10.14,9,62.77,2.35,82.76,0.46,3,3,7,No,Yellow,No,1,9,299673.1726,1
89,341453.6385,708.49,1,4,937.85,34.27,8,41.12,0.51,89.85,1.74,4,10,8,No,Yellow,Yes,1,1,393959.0545,1
90,145164.6243,982.12,1,2,906.47,37.93,9,120,22.46,81.31,1.61,4,3,5,Yes,Green,No,1,10,94574.73851,0
91,597561.8821,1427.45,3,4,14.46,30.83,9,40,10.83,89.91,1.76,6,8,8,No,Blue,No,1,7,413956.3415,1
92,138399.473,550,1,3,1007.36,42.32,6,1.42,12.24,93.81,1.09,2,8,7,No,White,No,1,13,154720.3375,0
93,200794.2658,1195.55,1,3,445.23,29.9,5,76.24,27.14,94.45,1.58,3,10,9,No,Yellow,Yes,1,10,224252.2063,0
94,280736.3999,897.88,3,5,292.13,10.98,10,39.69,13.39,94.46,1.6,5,3,4,No,White,No,1,11,381114.9193,1
95,268783.2257,922.14,2,2,498.24,36.83,4,50.06,18.08,88.56,1.36,6,4,8,No,Green,No,1,25,177938.6605,0
96,188922.9338,1117.43,2,2,546.97,32.53,7,42.19,31.63,91.03,1.59,4,10,7,No,Blue,No,1,22,86268.49103,0
97,243173.1802,1620.01,2,2,940.72,35.52,6,44.53,6.41,95.22,1.02,4,7,8,No,Green,No,1,21,260011.399,0
98,482609.8577,979.53,2,4,673.71,9.91,8,58.37,7.94,92.24,1.96,4,5,7,Yes,Yellow,Yes,1,21,460852.3995,1
99,329468.1081,1408.7,1,3,1053.13,42,8,74.13,1.46,93.46,1.34,7,6,6,No,Red,No,1,21,290338.5185,1
100,168330.4741,783.13,2,2,372.3,52.89,4,83.51,8.74,91.1,1.24,2,8,4,Yes,Red,Yes,1,15,79155.29125,0
101,192521.6106,559.28,1,1,251.26,54.37,4,63.4,58.14,89.89,2.54,3,9,6,No,Red,Yes,1,17,147421.1005,0
102,105659.5162,628.88,2,1,179.77,41.63,4,45.89,28.63,92.71,2.01,2,1,5,Yes,Red,Yes,2,26,24371.03455,1
103,416597.0363,1138,2,4,300.71,10.83,10,12.93,13.93,99.43,1.73,7,8,7,No,Blue,No,1,22,495549.3666,1
104,283619.0625,1761.22,1,3,1100.2,8.96,9,44.13,7.79,94.47,1.43,7,8,7,No,Blue,No,1,3,276320.7584,1
105,515034.703,1294.28,3,4,781.13,25.49,5,13.26,1.9,89.12,1.32,5,2,5,No,Red,No,1,13,762024.2044,1
106,622313.4809,1135.3,3,4,756.1,41.46,8,0.16,10.72,94.64,1.34,6,7,7,No,Yellow,No,1,18,507695.363,1
107,281768.783,550,1,2,935.23,51.79,1,63.93,20.88,91.9,2.66,4,7,5,No,Green,No,1,14,176339.6105,1
108,363985.391,778.54,3,3,861.69,25.78,6,108.38,0.79,93.43,1.56,6,2,7,No,White,No,1,23,436796.0704,0
109,372486.1554,1866.18,2,3,1059.36,41.54,8,21.74,24.62,91.43,1.41,6,5,6,No,White,No,1,9,365885.3664,1
110,517017.3736,1458.01,2,3,360.62,42.61,10,94.43,3.71,99.9,1.83,7,10,9,No,Yellow,No,1,9,379079.4811,1
111,96581.15482,1171.46,1,3,656.11,23.59,3,38.31,14.56,91.04,1.27,3,6,7,No,Green,No,1,12,12609.68017,0
112,189805.7933,603.88,3,3,663.77,49.29,10,58.78,5.71,99.9,1.67,6,3,4,No,Blue,Yes,1,6,168635.6435,0
113,492082.8928,1216.56,2,4,624.93,8.96,10,69.65,20.57,98.1,1.04,8,9,8,No,Yellow,No,1,6,618653.7437,1
114,98513.09269,550,2,2,500.92,9.39,8,14.3,15.68,95.91,1.99,3,4,2,Yes,White,No,1,11,10648.1766,0
115,334199.9353,1289.46,1,4,667.17,41.11,9,46.35,23.49,86.95,1.36,6,5,7,No,Green,Yes,1,8,226867.9175,1
116,138503.6879,710.29,1,4,588.34,43.08,8,63.61,8.06,98.34,1.53,4,7,6,Yes,White,Yes,1,13,53172.54135,0
117,329886.498,1974.31,1,2,926.42,29.23,9,7.79,0.73,95.19,0.71,6,5,5,No,Blue,No,1,15,410890.9745,1
118,470665.0211,1364.59,2,3,89.46,39.6,6,57.09,7.57,97.3,0.95,5,5,7,No,Yellow,Yes,1,14,537732.1574,0
119,197143.7222,568.77,2,3,58.05,75,4,0.02,6.3,87,1.9,5,6,5,No,Green,No,1,14,166080.2134,0
120,209382.3033,762.27,2,3,545.06,27.68,5,60.25,20.37,86.13,1.73,3,8,7,No,Blue,No,1,13,134129.1809,0
121,219051.4837,860.5,1,4,316.29,28.98,7,66.86,15.93,86.46,1.41,5,5,5,No,Red,No,1,9,281249.714,0
122,241370.1502,930.21,2,2,566,40.66,4,34.76,26.76,94.9,1.6,6,5,6,No,White,No,1,11,187134.6322,0
123,348708.1724,1393.42,3,3,708.88,0.91,5,11.7,0.8,99.9,1.76,5,2,5,No,Red,No,1,14,243243.8481,1
124,188197.7996,1012.32,1,4,256.97,50.62,9,59.56,3.9,91.81,1.27,5,5,4,No,Blue,Yes,1,13,342711.0883,1
125,111116.4823,553.43,1,3,200.64,18.88,6,73.15,60.21,99.9,0.96,4,4,5,No,White,No,1,14,45912.08614,0
126,153304.2906,1032.08,1,2,530.8,21.44,5,4.13,14.57,94.57,1.58,1,1,6,No,Yellow,No,1,8,47457.14311,0
127,605064.1428,1642.1,3,3,1076.98,30.47,7,8.38,3.18,82.12,0.74,7,8,8,No,Blue,Yes,1,14,489003.6291,1
128,660109.3536,1526.53,2,6,1276.59,13.63,8,71.51,2.5,90.55,1.27,8,1,5,Yes,Yellow,No,2,52,495607.7539,1
129,195802.9462,550,2,5,626.78,13.12,6,29.23,3.56,99.9,2.08,5,6,7,No,Blue,Yes,1,12,166754.3776,0
130,265790.3215,808.65,1,5,624.84,34.01,7,21.94,10.78,87.85,1.99,3,3,5,Yes,Green,Yes,1,13,255977.0197,0
131,167792.6953,550,2,2,113.42,34.42,6,16.15,16.07,94.11,1.24,3,5,6,No,Blue,Yes,1,2,129957.5696,0
132,244689.5845,1239.22,1,4,704.29,15.15,7,38.71,14.52,96.98,2.57,6,3,4,No,White,No,2,27,389338.7871,0
133,249935.6617,1004.76,1,2,838.79,30.1,4,29.4,21.78,99.11,1.45,4,1,4,No,Blue,Yes,1,20,136462.0516,0
134,762115.1725,2490.43,3,4,833.81,34.89,10,26.18,18.42,88.38,1.03,8,4,3,Yes,Blue,No,1,15,649088.0308,1
135,452288.5216,1906.63,2,5,308.92,64.06,8,37.18,11.48,89.51,2.39,8,5,5,Yes,White,Yes,1,30,584209.071,1
136,172692.171,550,3,1,290.28,17.7,5,5.79,16.49,89.02,1.02,4,10,6,No,White,No,1,9,81668.28711,1
137,216118.7539,782.67,1,4,510.22,33.65,6,41.73,20.43,94.48,1.59,6,7,8,Yes,White,No,1,14,150720.0561,0
138,455778.0358,550,6,3,231.36,48.98,7,14.76,14.5,99.9,1.19,6,4,5,No,Blue,No,1,12,473038.2042,1
139,365858.4583,1233.94,2,3,963.69,40.04,5,44.03,49.67,91.71,0.89,1,6,9,Yes,White,No,2,17,268725.3363,1
140,99267.04837,550,3,2,242.65,45.42,9,3.12,17.34,91.12,1.55,3,3,6,No,Green,Yes,1,21,22919.63691,0
141,98169.57031,690.15,2,3,215.54,7.89,5,54.57,29.26,89.36,0.93,1,7,7,Yes,Green,Yes,1,22,12116.32176,0
142,137434.8608,1536.98,1,1,267.89,23.77,7,93.62,25.63,93.45,2.04,5,7,8,No,Blue,Yes,1,10,64238.44087,1
143,267385.6889,718.96,4,3,786.18,44.73,5,42.3,31.59,97.29,1.17,6,9,8,Yes,Yellow,Yes,2,37,458658.1941,1
144,456955.7679,838.39,3,5,347.59,20.33,10,10.5,1.85,93.1,1.49,5,7,2,No,Yellow,Yes,1,15,521828.1684,1
145,148261.471,1064.61,1,3,401.68,7.05,10,0.67,9.93,97.96,1.65,4,4,6,No,Green,Yes,1,15,124805.2449,0
146,372086.4342,1014.11,3,3,908.45,17.96,10,64.42,38.18,94.87,1.72,7,4,6,No,Yellow,Yes,1,14,277662.226,0
147,92938.70913,960.39,2,1,56.01,48.45,5,45.56,19.38,99.9,1.57,5,8,7,No,Blue,Yes,1,14,2548.52884,0
148,302758.8424,854.37,1,3,300.71,23.05,4,34.93,7.47,91.53,1.18,3,10,6,Yes,Blue,No,1,12,250640.666,1
149,450049.6827,1929.23,3,5,564.42,51.54,10,11.34,2.89,96.37,1.56,9,5,5,No,Red,Yes,2,22,741284.5407,1
150,226905.0011,1186.48,3,2,672.77,85.44,4,48.44,38.96,89.3,1.31,7,7,6,No,Yellow,No,2,24,191579.6035,1
151,174263.9779,550,1,2,288.91,45.92,3,68.46,25.51,89.52,1.91,4,8,6,No,Yellow,No,1,9,144357.5573,1
152,477659.6964,1564.88,4,3,697.54,37.87,8,39.27,10.11,86.3,1.73,2,4,9,No,Yellow,No,1,6,454004.0592,1
153,299931.0375,1447.86,2,4,717.05,12.55,8,32.86,6.49,94.7,0.81,4,10,8,Yes,Yellow,No,2,31,517052.145,1
154,256483.9589,1195.99,1,3,604.53,16.13,8,40.76,15.44,99.9,1.77,6,10,7,No,Red,No,1,20,198484.8755,0
155,236691.7614,917.28,1,3,662.34,10.57,6,8.89,36.92,94.55,1.83,3,9,4,No,White,No,1,16,145771.4042,0
156,264839.3572,1456.13,1,2,505.8,18.49,7,17.64,18.58,93.8,1.82,4,1,6,No,Blue,No,1,11,124572.3536,0
157,219115.0432,946.99,1,3,507.04,72.72,8,1.59,16.94,93.96,0.72,5,5,5,Yes,Blue,Yes,2,24,231124.0805,0
158,111551.2801,752.35,2,1,723.63,53.33,6,61.57,39.25,98.83,1.03,5,9,7,No,Yellow,No,1,31,21393.39346,0
159,173749.1011,550,2,4,80,62.86,5,36.86,8.79,89.06,0.65,3,7,6,Yes,White,No,1,4,124793.2442,0
160,163923.6526,866.92,2,2,490.14,28.7,5,29.55,7.82,83.79,2.1,6,8,4,Yes,Red,Yes,1,13,125056.847,0
161,275767.8705,995.68,1,3,110.33,38.76,7,9.83,9.36,82.78,0.6,4,5,7,Yes,Yellow,Yes,1,21,299085.7757,0
162,268596.5887,574.35,1,4,792.79,6.61,4,9.45,16.48,95.41,0.97,7,7,6,No,Red,No,2,31,246772.9168,0
163,152156.6843,550,3,2,752.61,25.2,3,45.4,8.39,91.15,1.63,2,1,3,No,White,No,1,22,83149.72661,0
164,257395.0336,785.79,2,3,329.29,29.53,8,56.2,4.07,93.31,1.33,6,7,3,Yes,Blue,Yes,1,12,364205.5907,0
165,386716.6117,948.01,3,4,735.23,37.11,7,61.08,0.49,91.44,1.27,7,3,2,Yes,Blue,No,1,8,275295.1124,1
166,450120.2274,1323.84,4,1,541.45,30.8,7,72.15,1.95,99.7,0.99,6,5,9,No,Green,Yes,2,8,471436.2409,1
167,165109.7744,550,1,2,424.8,35.81,6,53.91,10.86,90.25,2.11,5,7,10,No,Red,No,1,17,89075.16513,0
168,573083.1594,1516.73,1,3,149.41,25.37,7,32.96,2.07,90.16,1.02,8,6,8,No,Yellow,No,1,8,476003.0198,1
169,279091.9309,1530.02,1,4,175.19,45.09,9,101.8,27.47,92.41,2.36,5,6,5,Yes,Blue,No,2,6,331009.6354,1
170,292393.51,1223.17,2,3,100.38,36.79,7,41.37,22.61,93.04,0.98,7,6,3,No,Red,Yes,1,15,165471.2967,1
171,280145.9092,550,1,3,430.67,30.91,7,71.45,23.98,96.57,1.84,6,9,8,No,Yellow,Yes,1,16,150534.813,0
172,425329.428,841.64,2,2,642,28.13,7,51.07,0.3,89.03,1.7,4,6,4,No,Red,No,1,6,268959.8686,0
173,110414.4485,550,1,3,192.6,34.62,6,86.63,48.12,99.29,1.89,3,6,5,No,Blue,Yes,1,6,46990.28354,0
174,184298.8701,690.87,1,2,313.82,36.82,5,149.3,16.13,94.36,1.14,3,5,4,No,Yellow,No,1,7,83084.07948,0
175,939276.434,1810.08,3,4,438.51,1.85,10,104.44,20.82,95.41,0.91,10,9,6,No,Yellow,Yes,1,14,594441.6729,1
176,235149.0994,857.78,3,3,615.54,27.79,3,25.63,12.94,94.34,1.18,4,4,7,Yes,Yellow,Yes,1,9,282915.8867,0
177,556413.2707,1194.44,4,3,565.41,21.81,10,3.8,13.02,92.97,2.17,6,5,7,No,Green,No,1,15,439887.9722,1
178,268927.7861,550,3,3,652.27,14.79,8,4.84,13.41,95.65,0.94,9,8,7,No,Yellow,No,1,4,315626.4274,0
179,380920.0576,652.85,3,4,655.21,21.09,6,68.43,6.85,96.15,2.38,5,10,10,No,Blue,Yes,1,20,311502.4498,1
180,197633.9779,1198.14,2,1,137.93,6.15,7,54.8,5.9,94.9,1.65,6,7,8,Yes,White,No,1,9,90385.53636,0
181,198687.8753,1413.38,2,3,380.84,36.26,8,39.59,20.49,95.51,1.44,1,6,6,No,Yellow,No,1,28,230580.4248,0
182,313323.3904,1259.71,3,4,482.01,33.45,8,10.05,3.39,88.1,0.5,5,5,8,No,White,Yes,2,31,529601.5947,1
183,184014.233,1151.89,1,2,782.58,70.69,3,63.99,22.19,94.01,1.02,3,2,4,No,Blue,No,1,23,113773.1377,0
184,338485.1269,1732.38,1,2,432.37,25.88,5,58.8,33.94,96.77,1.83,3,3,8,No,Green,Yes,1,9,245750.9113,1
185,423017.0623,1493.58,3,3,129.92,45.13,7,82.23,17.26,98.65,1.36,6,10,6,No,Red,No,1,14,574095.2573,1
186,252873.0692,1435.02,1,2,820.63,49.85,4,43.35,0.23,95.63,2.37,5,2,7,No,Yellow,Yes,1,14,149189.4196,0
187,144270.6511,966.05,2,3,366.65,56.62,9,7.85,40.41,93.52,2.18,3,4,8,No,Red,No,1,13,43032.2054,0
188,511443.7364,1416.23,4,4,461.51,34.96,8,2.43,14.07,99.9,0.57,8,10,7,No,White,No,1,25,464984.3714,1
189,247938.1754,588.65,4,3,577.26,24.47,7,53.95,12.29,87.31,1.53,5,5,8,No,Green,Yes,1,5,363555.3124,0
190,227842.6556,671.09,2,3,1075.03,44.77,6,46.21,19.07,98.68,1.88,3,2,7,No,Red,No,1,16,144111.4723,0
191,313708.945,652.65,2,4,854.55,48.39,6,77.11,3.21,89.19,1.62,4,6,5,No,Blue,Yes,1,14,210630.5392,1
192,223576.1619,1040.39,2,3,363.11,10.43,8,12.24,1.5,86.69,0.6,5,4,6,Yes,Yellow,No,1,12,249929.0909,0
193,542695.4537,1325.64,2,3,568.87,43.44,6,9.83,17.53,87.37,1.47,2,1,7,No,Red,No,1,18,386595.0828,1
194,379709.2558,1778.46,1,5,657.76,63.4,9,53.84,3.29,91.84,2.32,6,5,3,No,White,Yes,1,22,727254.452,1
195,220975.2677,550,2,4,699.71,32.22,8,101.98,16.26,94.4,1.5,3,3,6,No,White,Yes,1,25,176564.7709,0
196,300755.5043,1427.72,3,4,659.9,11.33,7,36.95,20.68,92.33,2.59,3,2,3,Yes,Green,Yes,1,10,378364.4374,1
197,127334.7909,550,1,3,621.03,39.89,3,52.95,20.42,94.63,2.02,1,1,4,No,White,Yes,1,7,74694.14436,0
198,210881.4665,1481.33,1,3,373.24,21.49,7,39.41,14.53,83.86,1.06,5,8,4,No,Yellow,No,1,15,167742.1176,0
199,287109.9397,1176.46,2,4,660.02,26.29,8,40.96,29.55,93.88,1.68,6,5,6,No,Yellow,Yes,2,26,410271.0218,1
